face	BBox	0.045898	0.260238	0.092773	0.328930
face	BBox	0.024414	0.224571	0.031250	0.235139
face	BBox	0.045898	0.219287	0.052734	0.228534
face	BBox	0.217773	0.227213	0.228516	0.250991
face	BBox	0.222656	0.228534	0.240234	0.258917
face	BBox	0.250977	0.225892	0.274414	0.257596
face	BBox	0.291016	0.239102	0.296875	0.247028
face	BBox	0.321289	0.239102	0.338867	0.274769
face	BBox	0.356445	0.245707	0.385742	0.287979
face	BBox	0.402344	0.235139	0.439453	0.290621
face	BBox	0.454102	0.237781	0.470703	0.270806
face	BBox	0.490234	0.257596	0.516602	0.294584
face	BBox	0.485352	0.232497	0.495117	0.253633
face	BBox	0.543945	0.236460	0.553711	0.253633
face	BBox	0.557617	0.204756	0.563477	0.217966
face	BBox	0.583984	0.237781	0.603516	0.264201
face	BBox	0.604492	0.248349	0.634766	0.298547
face	BBox	0.656250	0.257596	0.673828	0.286658
face	BBox	0.689453	0.250991	0.696289	0.264201
face	BBox	0.697266	0.247028	0.708984	0.264201
face	BBox	0.717773	0.253633	0.728516	0.277411
face	BBox	0.735352	0.248349	0.762695	0.291942
face	BBox	0.770508	0.258917	0.787109	0.281374
face	BBox	0.797852	0.253633	0.816406	0.280053
face	BBox	0.817383	0.247028	0.841797	0.287979
face	BBox	0.847656	0.260238	0.864258	0.284016
face	BBox	0.887695	0.252312	0.897461	0.276090
face	BBox	0.892578	0.248349	0.913086	0.274769
face	BBox	0.916992	0.248349	0.930664	0.272127
face	BBox	0.949219	0.257596	0.968750	0.281374
face	BBox	0.984375	0.247028	0.999023	0.270806
face	BBox	0.975586	0.235139	0.981445	0.243065
face	BBox	0.972656	0.257596	0.981445	0.269485
face	BBox	0.940430	0.232497	0.949219	0.241744
face	BBox	0.610352	0.207398	0.614258	0.215324
face	BBox	0.625000	0.216645	0.629883	0.225892
face	BBox	0.860352	0.249670	0.871094	0.268164
