face	BBox	0.731445	0.006932	0.755859	0.057192
face	BBox	0.670898	0.005199	0.695312	0.043328
face	BBox	0.619141	0.008666	0.642578	0.065858
face	BBox	0.557617	0.017331	0.580078	0.060659
face	BBox	0.496094	0.019064	0.521484	0.077990
face	BBox	0.524414	0.019064	0.543945	0.072790
face	BBox	0.951172	0.024263	0.972656	0.069324
face	BBox	0.896484	0.008666	0.916016	0.064125
face	BBox	0.319336	0.110919	0.370117	0.218371
face	BBox	0.222656	0.000000	0.248047	0.045061
face	BBox	0.219727	0.039861	0.241211	0.084922
